
0p/1s
-----------------------------------
4c / 2c 0a, reusable:  50.00%, success:  20.52%
3c / 1c 1a, reusable:  50.00%, success:  16.24%
3c / 2c 0a, reusable:  50.00%, success:  16.24%
2c / 2c 1a, reusable:  45.00%, success:  11.16%
2c / 3c 0a, reusable:  45.00%, success:  11.16%
4c / 0c 1a, reusable:  45.00%, success:  11.16%
4c / 1c 0a, reusable:  45.00%, success:  11.16%
2c / 1c 1a, reusable:  45.00%, success:   8.83%
2c / 2c 0a, reusable:  45.00%, success:   8.83%
3c / 0c 1a, reusable:  45.00%, success:   8.83%
3c / 1c 0a, reusable:  45.00%, success:   8.83%
2c / 0c 1a, reusable:  40.50%, success:   4.81%
2c / 1c 0a, reusable:  40.50%, success:   4.81%
1c / 2c 1a, reusable:  31.00%, success:   3.60%
1c / 3c 0a, reusable:  31.00%, success:   3.60%
4c / 0c 0a, reusable:  31.00%, success:   3.60%
1c / 1c 1a, reusable:  31.00%, success:   2.85%
1c / 2c 0a, reusable:  31.00%, success:   2.85%
3c / 0c 0a, reusable:  31.00%, success:   2.85%
1c / 0c 1a, reusable:  27.90%, success:   1.55%
1c / 1c 0a, reusable:  27.90%, success:   1.55%
2c / 0c 0a, reusable:  27.90%, success:   1.55%
1c / 0c 0a, reusable:  19.22%, success:   0.50%

3p/0s
-----------------------------------
3c / 1c 0a, reusable:  50.00%, success:  36.00%
3c / 1c 1a, reusable:  50.00%, success:  36.00%
3c / 2c 0a, reusable:  50.00%, success:  36.00%
3c / 2c 1a, reusable:  50.00%, success:  36.00%
3c / 3c 0a, reusable:  50.00%, success:  36.00%
3c / 3c 1a, reusable:  50.00%, success:  36.00%
2c / 1c 0a, reusable:  50.00%, success:  28.50%
2c / 1c 1a, reusable:  50.00%, success:  28.50%
2c / 2c 0a, reusable:  50.00%, success:  28.50%
2c / 2c 1a, reusable:  50.00%, success:  28.50%
2c / 3c 0a, reusable:  50.00%, success:  28.50%
2c / 3c 1a, reusable:  50.00%, success:  28.50%
2c / 4c 0a, reusable:  50.00%, success:  28.50%
2c / 4c 1a, reusable:  50.00%, success:  28.50%
1c / 1c 0a, reusable:  45.00%, success:  15.50%
1c / 1c 1a, reusable:  45.00%, success:  15.50%
1c / 2c 0a, reusable:  45.00%, success:  15.50%
1c / 2c 1a, reusable:  45.00%, success:  15.50%
1c / 3c 0a, reusable:  45.00%, success:  15.50%
1c / 3c 1a, reusable:  45.00%, success:  15.50%
1c / 4c 0a, reusable:  45.00%, success:  15.50%
1c / 4c 1a, reusable:  45.00%, success:  15.50%
1c / 5c 0a, reusable:  45.00%, success:  15.50%
1c / 5c 1a, reusable:  45.00%, success:  15.50%
0c / 1c 0a, reusable:  62.00%, success:  10.00%
0c / 1c 1a, reusable:  62.00%, success:  10.00%
0c / 2c 0a, reusable:  62.00%, success:  10.00%
0c / 2c 1a, reusable:  62.00%, success:  10.00%
0c / 3c 0a, reusable:  62.00%, success:  10.00%
0c / 3c 1a, reusable:  62.00%, success:  10.00%
0c / 4c 0a, reusable:  62.00%, success:  10.00%
0c / 4c 1a, reusable:  62.00%, success:  10.00%
0c / 5c 0a, reusable:  62.00%, success:  10.00%
0c / 5c 1a, reusable:  62.00%, success:  10.00%
0c / 6c 0a, reusable:  62.00%, success:  10.00%
0c / 0c 0a, reusable:  31.00%, success:   5.00%
0c / 0c 1a, reusable:  31.00%, success:   5.00%

3p/1s
-----------------------------------
3c / 3c 0a, reusable:  50.00%, success:  32.40%
3c / 3c 1a, reusable:  40.62%, success:  28.80%
2c / 4c 0a, reusable:  50.00%, success:  28.50%
2c / 3c 0a, reusable:  50.00%, success:  25.65%
2c / 4c 1a, reusable:  42.50%, success:  23.94%
3c / 2c 1a, reusable:  34.17%, success:  23.76%
2c / 3c 1a, reusable:  40.62%, success:  22.80%
3c / 2c 0a, reusable:  50.00%, success:  22.32%
2c / 2c 1a, reusable:  34.17%, success:  18.81%
2c / 2c 0a, reusable:  50.00%, success:  17.67%
1c / 4c 0a, reusable:  45.00%, success:  15.50%
1c / 5c 0a, reusable:  45.00%, success:  15.50%
1c / 3c 0a, reusable:  45.00%, success:  13.95%
3c / 1c 1a, reusable:  21.75%, success:  13.39%
1c / 4c 1a, reusable:  38.25%, success:  13.02%
1c / 3c 1a, reusable:  36.56%, success:  12.40%
3c / 1c 0a, reusable:  50.00%, success:  11.88%
2c / 1c 1a, reusable:  21.75%, success:  10.60%
1c / 2c 1a, reusable:  30.75%, success:  10.23%
1c / 2c 0a, reusable:  45.00%, success:   9.61%
