
-------------------------------------
0p/1s
Recomb: 0p/2s + 1p/1s | 2c/0c0a, Prob: 10.00%
Recomb: 0p/2s + 1p/1s | 3c/0c0a, Prob: 10.00%
Recomb: 0p/2s + 0p/1s | 1c/0c1a, Prob: 9.14%
Recomb: 0p/2s + 0p/1s | 1c/1c0a, Prob: 9.14%
Recomb: 0p/2s + 0p/1s | 1c/0c0a, Prob: 5.90%
Recomb: 0p/2s + 1p/1s | 0c/0c0a, Prob: 2.95%

-------------------------------------
1p/2s
Recomb: 0p/2s + 1p/1s | 3c/3c0a, Prob: 81.00%
Recomb: 0p/2s + 2p/0s | 2c/4c0a, Prob: 81.00%
Recomb: 1p/1s + 1p/1s | 2c/4c0a, Prob: 81.00%
Recomb: 0p/2s + 2p/0s | 3c/3c1a, Prob: 79.25%
Recomb: 1p/1s + 1p/1s | 3c/3c1a, Prob: 79.25%
Recomb: 0p/2s + 2p/0s | 3c/3c0a, Prob: 78.50%
Recomb: 1p/1s + 1p/1s | 3c/3c0a, Prob: 78.50%
Recomb: 0p/2s + 1p/0s | 3c/3c1a, Prob: 74.25%
Recomb: 0p/2s + 2p/0s | 2c/3c1a, Prob: 74.25%
Recomb: 1p/1s + 0p/1s | 3c/3c1a, Prob: 74.25%
Recomb: 1p/1s + 1p/1s | 2c/3c1a, Prob: 74.25%
Recomb: 0p/2s + 1p/0s | 3c/3c0a, Prob: 73.50%
Recomb: 0p/2s + 1p/1s | 3c/2c0a, Prob: 73.50%
Recomb: 0p/2s + 2p/0s | 2c/3c0a, Prob: 73.50%
Recomb: 1p/1s + 0p/1s | 3c/3c0a, Prob: 73.50%
Recomb: 1p/1s + 1p/1s | 2c/3c0a, Prob: 73.50%
Recomb: 0p/2s + 2p/0s | 0c/4c0a, Prob: 72.00%
Recomb: 1p/1s + 1p/1s | 0c/4c0a, Prob: 72.00%
Recomb: 0p/2s + 2p/0s | 3c/2c1a, Prob: 71.38%
Recomb: 1p/1s + 1p/1s | 3c/2c1a, Prob: 71.38%
Recomb: 0p/2s + 2p/0s | 2c/2c2a, Prob: 67.50%
Recomb: 1p/1s + 1p/1s | 2c/2c2a, Prob: 67.50%
Recomb: 0p/2s + 1p/0s | 2c/4c0a, Prob: 67.00%
Recomb: 0p/2s + 1p/1s | 2c/3c0a, Prob: 67.00%
Recomb: 0p/2s + 2p/0s | 1c/4c0a, Prob: 67.00%
Recomb: 1p/1s + 0p/1s | 2c/4c0a, Prob: 67.00%
Recomb: 1p/1s + 1p/1s | 1c/4c0a, Prob: 67.00%
Recomb: 0p/2s + 1p/0s | 3c/2c1a, Prob: 66.38%
Recomb: 0p/2s + 2p/0s | 2c/2c1a, Prob: 66.38%
Recomb: 1p/1s + 0p/1s | 3c/2c1a, Prob: 66.38%
Recomb: 1p/1s + 1p/1s | 2c/2c1a, Prob: 66.38%
Recomb: 0p/2s + 2p/0s | 0c/3c1a, Prob: 65.25%
Recomb: 1p/1s + 1p/1s | 0c/3c1a, Prob: 65.25%
Recomb: 0p/2s + 1p/0s | 4c/2c0a, Prob: 60.50%
Recomb: 0p/2s + 2p/0s | 3c/2c0a, Prob: 60.50%
Recomb: 0p/2s + 2p/0s | 4c/2c0a, Prob: 60.50%
